ADN	ad
abasourdissement	a.ba.zuʁ.di.ˈsəm
abats	a.ˈba
abattage	a.ba.ˈtaʒ
abattant	a.ba.ˈtã
abattement	a.ba.ˈtəm
abattis	a.ba.ˈti
abattoir	a.ba.ˈtwaʁ
abattre	a.ˈbatʁ
abbatial	a.ba.ˈsjal
abbaye	a.ˈbei
abbesse	a.ˈbɛs
abbé	a.ˈbe
abc	abk
abcès	ab.ˈsɛ
abdication	ab.di.ka.ˈsjõ
abdiquer	ab.di.ˈke
abdomen	ab.do.ˈmɛn
abdominal	ab.do.mi.ˈnal
abducteur	ab.dyk.ˈtœʁ
abeille	a.ˈbɛj
aberrant	a.bɛ.ˈʁã
aberration	a.bɛ.ʁa.ˈsjõ
abhorrer	a.bɔ.ˈʁe
abiogenèse	a.bjɔ.ʒə.ˈnɛz
abject	ab.ˈʒɛkt
abjection	ab.ʒɛk.ˈsjõ
abjuration	ab.ʒy.ʁa.ˈsjõ
abjurer	ab.ʒy.ˈʁe
abkhasien	ab.ka.ˈzi
ablatif	a.bla.ˈtif
abnégacion	ab.ne.ga.ˈsjõ
abnégation	ab.ne.ga.ˈsjõ
abois	a.ˈbwa
abolir	a.bɔ.ˈliʁ
abolition	a.bɔ.li.ˈsjõ
abolitionniste	a.bɔ.li.sjo.ˈnist
abominable	a.bo.mi.ˈnabl
abomination	a.bo.mi.na.ˈsjõ
abominer	a.bo.mi.ˈne
abondamment	a.bõ.ˈdam
abondance	a.bõ.ˈdãs
abondant	a.bõ.ˈdã
abonder	a.bõ.ˈde
abonnement	a.bo.ˈnəm
abonné	a.bɔ.ˈne
abord	a.ˈbɔʁ
abordable	a.bɔʁ.ˈdabl
aborder	a.bɔʁ.ˈde
abords	a.ˈbɔʁ
aborigène	a.bo.ʁi.ˈʒɛn
abortif	a.bɔʁ.ˈtif
aboucher	a.bu.ˈʃe
abouler	a.bu.ˈle
abouter	a.bu.ˈte
aboutir	a.bu.ˈtiʁ
aboutissement	a.bu.ti.ˈsəm
aboyer	a.bwa.ˈje
aboyer à	a.bwa.ˈjea
abracadabrant	a.bʁa.ka.da.ˈbʁã
abrasif	a.bʁa.ˈzif
abreuver	a.bʁœ.ˈve
abreuvoir	a.bʁœ.ˈvwaʁ
abri	a.ˈbʁi
abricot	a.bʁi.ˈko
abricotier	a.bʁi.kɔ.ˈtje
abriter	a.bʁi.ˈte
abrogation	a.bʁɔ.ga.ˈsjõ
abroger	a.bʁɔ.ˈʒe
abrupt	a.ˈbʁypt
abruptement	a.bʁyp.ˈtəm
abrégement	a.bʁe.ˈʒəm
abréger	a.bʁe.ˈʒe
abrégé	a.bʁe.ˈʒe
abrévation	a.bʁe.va.ˈsjõ
abscisse	ab.ˈsis
absence	ab.ˈsãs
absent	abs
absinthe	ab.ˈsɛ̃t
absolu	ab.sɔ.ˈly
absolument	ab.sɔ.ˈlym
absolutisme	ab.sɔ.ly.ˈtism
absorbant	ab.sɔʁ.ˈbã
absorber	ab.sɔʁ.ˈbe
absorption	ab.sɔʁps.ˈjõ
abstension totale d'alcool	ab.stã.sjõ.to.tal.dal.ˈkɔl
abstention	ab.stã.ˈtjõ
abstraction	ab.stʁak.ˈsjõ
abstraire	ab.ˈstʁɛʁ
abstrait	ab.ˈstʁɛ
absurde	ab.ˈsyʁd
absurdité	ab.syʁ.di.ˈte
abus	a.ˈby
abuser	a.by.ˈze
abusif	a.by.ˈzif
abusivement	a.by.zi.ˈvəm
abyssin	a.bi.ˈsɛ̃
abécédaire	a.be.se.ˈdɛʁ
abêtir	a.bɛ.ˈtiʁ
abîme	a.ˈbim
abîmer	a.bi.ˈme
acabit	a.ka.ˈbi
acacia	a.ka.ˈsja
académicien	a.ka.de.mi.ˈsi
académie	a.ka.de.ˈmi
académique	a.ka.de.ˈmik
acanthe	a.ˈkãt
acarien	a.ka.ˈʁi
accaparer	a.ka.pa.ˈʁe
accent	aks
accentuer	ak.sã.ˈtye
accent circonflexe	aks.siʁ.kõ.ˈflɛks
acceptable	ak.sɛp.ˈtabl
accepter	ak.sɛp.ˈte
accepteur	ak.sɛp.ˈtœʁ
accepté	ak.sɛp.ˈte
accessible	ak.sɛ.ˈsibl
accessoire	ak.sɛ.ˈswaʁ
accident	ak.ˈsid
accidentel	ak.si.dã.ˈtɛl
accidentellement	ak.si.dã.tɛ.ˈləm
accidenté	ak.si.dã.ˈte
acclamation	a.kla.ma.ˈsjõ
acclamer	a.kla.ˈme
acclimatation	a.kli.ma.ta.ˈsjõ
acclimatement	a.kli.ma.ˈtəm
accolade	a.kɔ.ˈlad
accommodant	a.ko.mɔ.ˈdã
accommodement	a.ko.mɔ.ˈdəm
accommoder	a.ko.mɔ.ˈde
accomodation	a.kɔ.mɔ.da.ˈsjõ
accompagnateur	a.kõ.pa.nja.ˈtœʁ
accompagnatrice	a.kõ.pa.nja.ˈtʁis
accompagnement	a.kõ.pa.ˈnjəm
accompagner	a.kõ.pa.ˈnje
accompli	a.kõ.ˈpli
accomplir	a.kõ.ˈpliʁ
accomplissement	a.kõ.pli.ˈsəm
accord	a.ˈkɔʁ
accordailles	a.koʁ.ˈdaj
accorder	a.kɔʁ.ˈde
accordé	a.kɔʁ.ˈde
accordée	a.kɔʁ.ˈde
accordéon	a.kɔʁ.ˈdeõ
accordéoniste	a.kɔʁ.deo.ˈnist
accotement	a.kɔ.ˈtəm
accoter	a.kɔ.ˈte
accotoir	a.ko.ˈtwaʁ
accoucher	a.ku.ˈʃe
accoucheur	a.ku.ˈʃœʁ
accoucheuse	a.ku.ˈʃøz
accouchée	a.ku.ˈʃe
accoudoir	a.ku.ˈdwaʁ
accouplement	a.ku.ˈpləm
accoupler	a.ku.ˈple
accoutumer	a.ku.ty.ˈme
accoutumé	a.ku.ty.ˈme
accrocher	a.kʁɔ.ˈʃe
accroissement	a.kʁwa.ˈsəm
accroître	a.ˈkʁwatʁ
accréditer	a.kʁe.di.ˈte
accu	a.ˈkœ̃
accueil	a.ˈkœj
accueillir	a.kœ.ˈjiʁ
accumulateur	a.ky.my.la.ˈtœʁ
accumulation	a.ky.my.la.ˈsjõ
accumulator	a.ky.my.la.ˈtɔʁ
accumuler	a.ky.my.ˈle
accusateur	a.ky.za.ˈtœʁ
accusatif	a.ky.za.ˈtif
accusation	a.ky.za.ˈsjõ
accuser	a.ky.ˈze
accusé	a.ky.ˈze
accusé de réception	a.ky.ze.də.ʁe.sɛps.ˈjõ
accéleration	ak.se.lə.ʁa.ˈsjõ
accélerer	ak.se.lə.ˈʁe
accélérateur	ak.se.le.ʁa.ˈtœʁ
accélération	ak.se.le.ʁa.ˈsjõ
accélérer	ak.se.le.ˈʁe
accès	ak.ˈsɛ
acerbe	a.ˈsɛʁb
achat	a.ˈʃa
acheteur	a.ʃə.ˈtœʁ
achever	a.ʃə.ˈve
achevé	a.ʃə.ˈve
achillée	a.ˈʃje
achopper	a.ʃɔ.ˈpe
acide	a.ˈsid
acidifier	a.si.di.ˈfje
acidité	a.si.di.ˈte
acier	a.ˈsje
acné	ak.ˈne
acolyte	a.ko.ˈlit
acompte	a.ˈkõt
aconit	a.ko.ˈni
acoustique	a.ku.ˈstik
acquisition	a.ki.zi.ˈsjõ
acquit	a.ˈki
acquittement	a.ki.ˈtəm
acquitter	a.ki.ˈte
acquéreur	a.ke.ˈʁœʁ
acquérir	a.ke.ˈʁiʁ
acquérir péniblement	a.ke.ʁiʁ.pe.ni.ˈbləm
acre	akʁ
acrobate	a.kʁo.ˈbat
acrobaties	a.kʁɔ.ba.ˈsi
acrobatique	a.kʁo.ba.ˈtik
acrostiche	a.kʁɔ.ˈstiʃ
acte	akt
acteur	ak.ˈtœʁ
actif	ak.ˈtif
action	ak.ˈsjõ
actionnaire	ak.sjɔ.ˈnɛʁ
actionner	ak.sjɔ.ˈne
action au porteur	ak.sjõo.pɔʁ.ˈtœʁ
action de compagnie maritime	ak.sjõ.də.kõ.pa.nji.ma.ʁi.ˈtim
action nominative	ak.sjõ.no.mi.na.ˈtiv
activer	ak.ti.ˈve
activité	ak.ti.vi.ˈte
actrice	ak.ˈtʁis
actualité	ak.tya.li.ˈte
actualités	ak.tya.li.ˈte
actuel	ak.ˈtyɛl
actuellement	ak.tyɛ.ˈləm
acuité	a.kɥi.ˈte
acupuncture	a.ky.põk.ˈtyʁ
acéré	a.se.ˈʁe
acétate	a.se.ˈtat
acétone	a.se.ˈton
acétylène	a.se.ti.ˈlɛn
adagio	a.dadʒ.ˈjo
adaptation	a.dap.ta.ˈsjõ
adaptation musicale	a.dap.ta.sjõ.my.zi.ˈkal
adapter	a.dap.ˈte
adapteur	a.dap.ˈtœʁ
adapté	a.dap.ˈte
addition	a.di.ˈsjõ
additionnel	a.di.sjo.ˈnɛl
additionner	a.di.sjɔ.ˈne
adhérent	a.ˈdeʁ
adhérents	a.ˈdeʁ
adhérer	a.de.ˈʁe
adhésif	a.de.ˈzif
adhésion	a.dez.ˈjõ
adieu	a.ˈdjø
adjacent	ad.ˈʒas
adjectif	ad.ʒɛk.ˈtif
adjoindre	ad.ˈʒwɛ̃dʁ
adjoint	ad.ˈʒwɛ̃
adjoint au maire	ad.ʒwɛ̃o.ˈmɛʁ
adjudant	ad.ʒy.ˈdã
adjudication	ad.ʒy.di.ka.ˈsjõ
adjuger	ad.ʒy.ˈʒe
admettre	ad.ˈmɛtʁ
administrateur	ad.mi.ni.stʁa.ˈtœʁ
administratif	ad.mi.ni.stʁa.ˈtif
administration	ad.mi.ni.stʁa.ˈsjõ
administrer	ad.mi.ni.ˈstʁe
admirable	ad.mi.ˈʁabl
admirateur	ad.mi.ʁa.ˈtœʁ
admiratif	ad.mi.ʁa.ˈtif
admiration	ad.mi.ʁa.ˈsjõ
admiratrice	ad.mi.ʁa.ˈtʁis
admirer	ad.mi.ˈʁe
admonester	ad.mo.nɛ.ˈste
ado	a.ˈdo
adolescence	a.dɔ.lɛ.ˈsãs
adolescent	a.dɔ.ˈlɛs
adolescente	a.dɔ.lɛ.ˈsãt
adonis	a.do.ˈni
adopter	a.dɔp.ˈte
adoptif	a.dɔp.ˈtif
adoption	a.dops.ˈjõ
adorable	a.dɔ.ˈʁabl
adorateur	a.do.ʁa.ˈtœʁ
adoration	a.dɔ.ʁa.ˈsjõ
adoratrice	a.do.ʁa.ˈtʁis
adorer	a.dɔ.ˈʁe
adorée	a.dɔ.ˈʁe
adresse	a.ˈdʁɛs
adresser	a.dʁɛ.ˈse
adresser la parole à	a.dʁɛ.se.la.pa.ʁɔ.ˈla
adroit	a.ˈdʁwa
adrénaline	a.dʁe.na.ˈlin
aduler	a.dy.ˈle
adulte	a.ˈdylt
adultère	a.dyl.ˈtɛʁ
adverbe	ad.ˈvɛʁb
adverbial	ad.vɛʁ.ˈbjal
adversaire	ad.vɛʁ.ˈsɛʁ
adéquate	a.de.ˈkwat
afecté	a.fɛk.ˈte
affable	a.ˈfabl
affaiblir	a.fɛ.ˈbliʁ
affaire	a.ˈfɛʁ
affaires	a.ˈfɛʁ
affectation	a.fɛk.ta.ˈsjõ
affecter	a.fɛk.ˈte
affection	a.fɛk.ˈsjõ
affectueux	a.fɛk.ˈtyø
affecté	a.fɛk.ˈte
affermer	a.fɛʁ.ˈme
affiche	a.ˈfiʃ
afficher	a.fi.ˈʃe
affiler	a.fi.ˈle
affilié	a.fi.ˈlje
affinier	a.fi.ˈnje
affinité	a.fi.ni.ˈte
affirmatif	a.fiʁ.ma.ˈtif
affirmation	a.fiʁ.ma.ˈsjõ
affirmer	a.fiʁ.ˈme
affixe	a.ˈfiks
affliction	a.flik.ˈsjõ
affliger	a.fli.ˈʒe
affligé	a.fli.ˈʒe
affluent	a.ˈfly
afflux	a.ˈfly
afflux de sang	a.fly.də.ˈsã
affolement	a.fɔ.ˈləm
affranchi	a.fʁã.ˈʃi
affranchir	a.fʁã.ˈʃiʁ
affreusement	a.fʁø.ˈzəm
affreux	a.ˈfʁø
affreux jojo	a.fʁø.ʒo.ˈʒo
affriolant	afʁ.jo.ˈlã
affront	a.ˈfʁõ
affronter	a.fʁõ.ˈte
afféterie	a.fɛ.tə.ˈʁi
afghan	af.ˈgã
afin de	a.fɛ̃.ˈdə
afin de pour	a.fɛ̃.də.ˈpuʁ
afin que	a.fɛ̃.ˈkə
africain	a.fʁi.ˈkɛ̃
agacement	a.ga.ˈsəm
agacer	a.ga.ˈse
agape	a.ˈgap
agate	a.ˈgat
agave	a.ˈgav
agaçant	a.ga.ˈsã
agence	a.ˈʒãs
agence de voyage	a.ʒãs.də.vwa.ˈjaʒ
agenda	a.ʒɛ̃.ˈda
agent	aʒ
agent de police	aʒ.də.pɔ.ˈlis
aggloméré	a.glɔ.me.ˈʁe
agglutinant	a.gly.ti.ˈnã
agglutiner	a.gly.ti.ˈne
aggraver	a.gʁa.ˈve
agile	a.ˈʒil
agir	a.ˈʒiʁ
agir avec abnégation	a.ʒi.ʁa.vɛ.kab.ne.ga.ˈsjõ
agir avec affectation	a.ʒi.ʁa.vɛ.ka.fɛk.ta.ˈsjõ
agir en hypocrite	a.ʒi.ʁi.po.ˈkʁit
agir selon	a.ʒiʁ.sə.ˈlõ
agissant	a.ʒi.ˈsã
agitation	a.ʒi.ta.ˈsjõ
agiter	a.ʒi.ˈte
agité	a.ʒi.ˈte
agneau	a.ˈnjo
agnostique	a.njɔ.ˈstik
agonie	a.go.ˈni
agoniser	a.go.ni.ˈze
agoraphobie	a.gɔ.ʁa.fɔ.ˈbi
agrafe	a.ˈgʁaf
agrafer	a.gʁa.ˈfe
agrafe de vêtement	a.gʁaf.də.vɛ.ˈtəm
agrander	a.gʁã.ˈde
agrarien	a.gʁa.ˈʁi
agresser	a.gʁɛ.ˈse
agressif	a.gʁɛ.ˈsif
agression	a.gʁɛ.ˈsjõ
agriculteur	a.gʁi.kyl.ˈtœʁ
agriculture	a.gʁi.kyl.ˈtyʁ
agripper	a.gʁi.ˈpe
agronome	a.gʁo.ˈnɔm
agronomie	a.gʁo.no.ˈmi
agronomique	a.gʁo.nɔ.ˈmik
agréable	a.ˈgʁeabl
agréablement	a.gʁea.ˈbləm
agréer	a.ˈgʁee
agrégat	a.gʁe.ˈga
agrément	a.ˈgʁem
ah	a
aide	ɛd
aider	ɛ.ˈde
aigle	ɛgl
aiglefin	ɛ.glə.ˈfɛ̃
aiglon	ɛ.ˈglõ
aigre	ɛgʁ
aigreur	ɛ.ˈgʁœʁ
aigrir	ɛ.ˈgʁiʁ
aigu	ɛ.ˈgy
aiguille	ɛg.ˈɥij
aiguiller	ɛg.ɥi.ˈje
aiguille de montre	ɛg.ɥij.də.ˈmõtʁ
aiguille à coudre	ɛg.ɥi.ja.ˈkudʁ
aiguiser	ɛ.gi.ˈze
aile	ɛl
ailleurs	a.ˈjœʁ
aimable	ɛ.ˈmabl
aimer	ɛ.ˈme
aimer mieux	ɛ.me.ˈmjø
aine	ɛn
ainsi	ɛ̃.ˈsi
air	ɛʁ
airain	ɛ.ˈʁɛ̃
aire	ɛʁ
air de musique	ɛʁ.də.my.ˈzik
aisselle	ɛ.ˈsɛl
aisé	ɛ.ˈze
ajourner	a.ʒuʁ.ˈne
ajouter	a.ʒu.ˈte
ajuster	a.ʒy.ˈste
alarme	a.ˈlaʁm
alarmer	a.laʁ.ˈme
albanais	al.ba.ˈnɛ
albatros	al.ba.ˈtʁo
albino	al.bi.ˈno
album	al.ˈbɔm
albumen	al.by.ˈmɛn
alcali	al.ka.ˈli
alcalin	al.ka.ˈlɛ̃
alchimie	al.ʃi.ˈmi
alchimiste	al.ʃi.ˈmist
alcool	al.ˈkɔl
alcoolique	al.kɔ.ˈlik
alcoolisme	al.kɔ.ˈlism
alcool dénaturé	al.kɔl.de.na.ty.ˈʁe
alcôve	al.ˈkov
aldéhyde	al.ˈdeid
alentour	a.lã.ˈtuʁ
alentours	a.lã.ˈtuʁ
alerte	a.ˈlɛʁt
alerter	a.lɛʁ.ˈte
algue	alg
algébrique	al.ʒe.ˈbʁik
algérien	al.ʒe.ˈʁi
algèbre	al.ˈʒɛbʁ
alibi	a.li.ˈbi
aliment	a.ˈlim
alimenter	a.li.mã.ˈte
alinéa	a.li.ˈnea
aliénation	a.lje.na.ˈsjõ
aliéniste	a.lje.ˈnist
aliéné	a.lje.ˈne
allaiter	a.lɛ.ˈte
allemand	a.lə.ˈmã
aller	a.ˈle
allergie	a.lɛʁ.ˈʒi
allergique	a.lɛʁ.ˈʒik
aller en pélerinage	a.le.pe.lə.ʁi.ˈnaʒ
aller en véhicule	a.le.vei.ˈkyl
aller à la selle	a.lea.la.ˈsɛl
alliage	a.ˈljaʒ
alliance	a.ˈljãs
allier	a.ˈlje
alligator	a.li.ga.ˈtɔʁ
allitération	a.li.te.ʁa.ˈsjõ
allonger	a.lõ.ˈʒe
allouer	a.ˈlue
allumer	a.ly.ˈme
allumette	a.ly.ˈmɛt
allure	a.ˈlyʁ
alléchant	a.le.ˈʃã
allécher	a.le.ˈʃe
allée	a.ˈle
allégorie	a.le.gɔ.ˈʁi
allégorique	a.le.gɔ.ˈʁik
allégresse	a.le.ˈgʁɛs
allô	a.ˈlo
almanach	al.ma.ˈna
alors	a.ˈlɔʁ
alouette	a.ˈlwɛt
aloès	a.ˈloɛs
alpaga	al.pa.ˈga
alpestre	al.ˈpɛstʁ
alpha	al.ˈfa
alphabet	al.fa.ˈbɛ
alphabétique	al.fa.bɛ.ˈtik
alpin	al.ˈpɛ̃
alpinisme	al.pi.ˈnism
alpiniste	al.pi.ˈnist
alsacien	al.sa.ˈsi
alternative	al.tɛʁ.na.ˈtiv
alterner	al.tɛʁ.ˈne
altier	al.ˈtje
altitude	al.ti.ˈtyd
alto	al.ˈto
altruisme	al.ˈtʁɥism
altruiste	al.ˈtʁɥist
aluminium	a.ly.mi.ˈnjɔm
alun	a.ˈly
aléa	a.ˈlea
aléatoire	a.lea.ˈtwaʁ
amabilité	a.ma.bi.li.ˈte
amadouer	a.ma.ˈdue
amande	a.ˈmãd
amant	a.ˈmã
amante	a.ˈmãt
amarante	a.ma.ˈʁãt
amas	a.ˈma
amateur	a.ma.ˈtœʁ
amazone	a.ma.ˈzɔn
ambassade	ã.ba.ˈsad
ambassadeur	ã.ba.sa.ˈdœʁ
ambassadrice	ã.ba.sa.ˈdʁis
ambiance	ã.ˈbjãs
ambigu	ã.bi.ˈgy
ambitieux	ã.bi.ˈsjø
ambition	ã.bi.ˈsjõ
ambivalence	ã.bi.va.ˈlãs
ambre	ãbʁ
ambre gris	ãbʁ.ˈgʁi
ambre jaune	ãbʁ.ˈʒon
ambroisie	ã.bʁwa.ˈzi
ambulance	ã.by.ˈlãs
amende	a.ˈmãd
amender	a.mã.ˈde
amener	a.mə.ˈne
amener à	a.mə.ˈnea
amer	a.ˈme
ami	a.ˈmi
amibe	a.ˈmib
amical	a.mi.ˈkal
amie	a.ˈmi
amiral	a.mi.ˈʁal
amitié	a.mi.ˈtje
ami politique	a.mi.pɔ.li.ˈtik
ammoniaque	a.mo.ˈnjak
amnistie	am.ni.ˈsti
amoindrir	a.mwɛ̃.ˈdʁiʁ
amok	a.ˈmɔk
amorphe	a.ˈmɔʁf
amour	a.ˈmuʁ
amoureux	a.mu.ˈʁø
amour charnel	a.muʁ.ʃaʁ.ˈnɛl
amphibie	ã.fi.ˈbi
amphibologique	ã.fi.bɔ.lo.ˈʒik
amphitryon	ã.fi.ˈtʁjõ
amphitéâtre	ã.fi.ˈteatʁ
amphore	ã.ˈfɔʁ
amphétamine	ã.fɛ.ta.ˈmin
ample	ãpl
ampleur	ã.ˈplœʁ
amplifier	ã.pli.ˈfje
amplitude	ã.pli.ˈtyd
ampoule	ã.ˈpul
amputation	ã.py.ta.ˈsjõ
amputer	ã.py.ˈte
ampère	ã.ˈpɛʁ
amulette	a.my.ˈlɛt
amusant	a.my.ˈzã
amusement	a.my.ˈzəm
amuser	a.my.ˈze
amygdale	a.mi.ˈdal
améliorer	a.me.ljɔ.ˈʁe
aménité	a.me.ni.ˈte
américain	a.me.ʁi.ˈkɛ̃
américaniser	a.me.ʁi.ka.ni.ˈze
améthyste	a.me.ˈtist
amène	a.ˈmɛn
an	ã
anabaptisme	a.na.ba.ˈtism
anachronisme	a.na.kʁo.ˈnism
anaconda	a.na.kõ.ˈda
anagramme	a.na.ˈgʁam
anal	a.ˈnal
analogie	a.na.lo.ˈʒi
analogique	a.na.lo.ˈʒik
analogue	a.na.ˈlɔg
analphabète	a.nal.fa.ˈbɛt
analyse	a.na.ˈliz
analyser	a.na.li.ˈze
analyste	a.na.ˈlist
ananas	a.na.ˈna
anapeste	a.na.ˈpɛst
anar	a.ˈnaʁ
anarchie	a.naʁ.ˈʃi
anarchique	a.naʁ.ˈʃik
anarchisme	a.naʁ.ˈʃism
anarchiste	a.naʁ.ˈʃist
anathème	a.na.ˈtɛm
anatomie	a.na.to.ˈmi
anatomique	a.na.to.ˈmik
anatomiste	a.na.to.ˈmist
anchois	ã.ˈʃwa
ancien	ã.ˈsi
ancolie	ã.kɔ.ˈli
ancre	ãkʁ
ancêtre	ã.ˈsɛtʁ
andalou	ã.da.ˈlu
andorran	ã.dɔ.ˈʁã
andouille	ã.ˈduj
anecdote	a.nɛk.ˈdɔt
anecdotique	a.nɛk.dɔ.ˈtik
anesthésie	a.nɛ.ste.ˈzi
anesthésiste	a.nɛ.ste.ˈzist
ange	ãʒ
angine	ã.ˈʒin
anglais	ã.ˈglɛ
angle	ãgl
anglican	ã.gli.ˈkã
anglicisme	ã.gli.ˈsism
angoisse	ãg.ˈwas
angolais	ã.gɔ.ˈlɛ
anguille	ã.ˈgij
anguillule	ãg.ˈjyl
angulaire	ã.gy.ˈlɛʁ
anguleux	ã.gy.ˈlø
angélique	ã.ʒe.ˈlik
aniline	a.ni.ˈlin
animal	a.ni.ˈmal
animal domestique	a.ni.mal.do.mɛ.ˈstik
animer	a.ni.ˈme
anneau	a.ˈno
annihilation	a.nii.la.ˈsjõ
anniversaire	a.ni.vɛʁ.ˈsɛʁ
annonce	a.ˈnõs
annoncer	a.nõ.ˈse
annuaire	a.ˈnyɛʁ
annuel	a.ˈnyɛl
annuellement	a.nyɛ.ˈləm
annulation	a.ny.la.ˈsjõ
annuler	a.ny.ˈle
année	a.ˈne
année financière	a.ne.fi.nã.ˈsjɛʁ
anode	a.ˈnɔd
anonymat	a.no.ni.ˈma
anonyme	a.no.ˈnim
anormal	a.nɔʁ.ˈmal
antagoniste	ã.ta.go.ˈnist
antarctique	ã.taʁk.ˈtik
antenne	ã.ˈtɛn
anthologie	ã.to.lo.ˈʒi
anthracite	ã.tʁa.ˈsit
anthropologie	ã.tʁɔ.pɔ.lo.ˈʒi
anthropologiste	ã.tʁɔ.pɔ.lo.ˈʒist
anthropologue	ã.tʁɔ.pɔ.ˈlog
antibiotique	ã.ti.bjo.ˈtik
antichambre	ã.ti.ˈʃãbʁ
anticipation	ã.ti.si.pa.ˈsjõ
anticiper	ã.ti.si.ˈpe
anticorps	ã.ti.ˈkɔʁ
antidote	ã.ti.ˈdɔt
antigel	ã.ti.ˈʒɛl
antillais	ã.ti.ˈjɛ
antilope	ã.ti.ˈlɔp
antimoine	ã.ti.ˈmwan
antipathie	ã.ti.pa.ˈti
antipathique	ã.ti.pa.ˈtik
antipode	ã.ti.ˈpɔd
antique	ã.ˈtik
antiseptique	ã.ti.zɛp.ˈtik
antisocial	ã.ti.zo.ˈsjal
antisémite	ã.ti.se.ˈmit
antisémitique	ã.ti.se.mi.ˈtik
antisémitisme	ã.ti.se.mi.ˈtism
antithèse	ã.ti.ˈtɛz
antéchrist	ã.tɛʃ.ˈʁist
antécédent	ã.te.ˈsed
anus	a.ˈnys
anversois	ã.vɛʁ.ˈswa
anxiété	ãk.sje.ˈte
anémie	a.ne.ˈmi
anémique	a.ne.ˈmik
anémone	a.ne.ˈmɔn
aorta	aɔʁ.ˈta
août	ut
apache	a.ˈpaʃ
apartheid	a.paʁ.ˈtɛd
apathie	a.pa.ˈti
apathique	a.pa.ˈtik
apercevoir	a.pɛʁ.sə.ˈvwaʁ
apesanteur	a.pə.zã.ˈtœʁ
aphasie	a.fa.ˈzi
aphorisme	a.fɔ.ˈʁism
apiculteur	a.pi.kyl.ˈtœʁ
apiculture	a.pi.kyl.ˈtyʁ
apitoiement	a.pi.ˈtwam
apitoyer	a.pi.twa.ˈje
aplati	a.pla.ˈti
aplomb	a.ˈplõ
apocalyptique	a.po.ka.lip.ˈtik
apocryphe	a.po.ˈkʁif
apogée	a.pɔ.ˈʒe
apologie	a.pɔ.lo.ˈʒi
apoplexie	a.po.plɛk.ˈsi
apostat	a.po.ˈsta
apostolat	a.po.stɔ.ˈla
apostolique	a.po.stɔ.ˈlik
apostrophe	a.po.ˈstʁɔf
apothicaire	a.po.ti.ˈkɛʁ
apothéose	a.pɔ.ˈteoz
apparant	a.pa.ˈʁã
apparaître	a.pa.ˈʁɛtʁ
appareil	a.pa.ˈʁɛj
appareil administratif	a.pa.ʁɛ.jad.mi.ni.stʁa.ˈtif
apparemment	a.pa.ˈʁam
apparence	a.pa.ˈʁãs
apparier	a.pa.ˈʁje
apparition	a.pa.ʁi.ˈsjõ
appartement	a.paʁ.ˈtəm
appartenir	a.paʁ.tə.ˈniʁ
appeler	a.pə.ˈle
appendice	a.pã.ˈdis
appendicite	a.pã.di.ˈsit
applaudir	a.plo.ˈdiʁ
application	a.pli.ka.ˈsjõ
appliquer	a.pli.ˈke
appliqué	a.pli.ˈke
appointements	a.pwɛ̃.ˈtəm
apporter	a.pɔʁ.ˈte
apposer	a.po.ˈze
apprendre	a.ˈpʁãdʁ
apprendre par l'expérience	a.pʁãdʁ.paʁ.lɛk.spe.ˈʁjãs
apprendre à	a.pʁã.ˈdʁa
apprendre à fond	a.pʁã.dʁa.ˈfõ
appris	a.ˈpʁi
apprivoiser	a.pʁi.vwa.ˈze
apprivoisé	a.pʁi.vwa.ˈze
approbation	a.pʁɔ.ba.ˈsjõ
approche	a.ˈpʁɔʃ
approcher	a.pʁɔ.ˈʃe
approuver	a.pʁu.ˈve
apprécier	a.pʁe.ˈsje
appréhension	a.pʁeã.ˈsjõ
apprêter	a.pʁɛ.ˈte
appui	a.ˈpɥi
appuyer	a.pɥi.ˈje
appuyer en écrasant	a.pɥi.jee.kʁa.ˈzã
appétit	a.pɛ.ˈti
appât	a.ˈpa
appâter	a.pa.ˈte
après	a.ˈpʁɛ
apte à	ap.ˈta
aptitude	ap.ti.ˈtyd
apéritif	a.pe.ʁi.ˈtif
apéro	a.pe.ˈʁo
apôtre	a.ˈpotʁ
aquarelle	a.kwa.ˈʁɛl
aquarium	a.kwa.ˈʁjɔm
aquatique	a.kwa.ˈtik
aqueduc	ak.ˈdyk
arabe	a.ˈʁab
arabesque	a.ʁa.ˈbɛsk
arabique	a.ʁa.ˈbik
arachide	a.ʁa.ˈʃid
arack	a.ˈʁak
araignée	a.ʁɛ.ˈnje
arbitraire	aʁ.bi.ˈtʁɛʁ
arbitre	aʁ.ˈbitʁ
arbouse	aʁ.ˈbuz
arbousier	aʁ.buz.ˈje
arbre	aʁbʁ
arbre de transmission	aʁbʁ.də.tʁã.smi.ˈsjõ
arbrisseau	aʁ.bʁi.ˈso
arbuste	aʁ.ˈbyst
arc	aʁk
arcane	aʁ.ˈkan
archange	aʁ.ˈʃãʒ
archaïsme	aʁ.ˈkaism
archevêque	aʁ.ʃə.ˈvɛk
archiduc	aʁ.ʃi.ˈdyk
archiduché	aʁ.ʃi.dy.ˈʃe
archipel	aʁ.ʃi.ˈpɛl
architecte	aʁ.ʃi.ˈtɛkt
architectonique	aʁ.ʃi.tɛk.to.ˈnik
architectural	aʁ.ʃi.tɛk.ty.ˈʁal
architecture	aʁ.ʃi.tɛk.ˈtyʁ
